STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975,24783.69,23544.51,1239.18,0.05,0.222,0.000
AL,1975,25100.87,23845.83,1255.04,0.05,0.225,0.000
AL,1975,25471.01,24197.46,1273.55,0.05,0.228,0.000
AL,1975,25901.54,24606.47,1295.08,0.05,0.232,0.000
AL,1976,26444.96,25122.71,1322.25,0.05,0.237,0.000
AL,1976,27055.91,25693.28,1362.63,0.05,0.242,0.000
AL,1976,27744.00,26132.66,1611.33,0.06,0.248,0.000
AL,1976,28527.58,26651.29,1876.28,0.07,0.255,0.000
AL,1977,29389.73,27214.81,2174.92,0.07,0.263,0.000
AL,1977,30301.65,27801.50,2500.15,0.08,0.271,0.000
AL,1977,31228.20,28385.42,2842.78,0.09,0.280,0.000
AL,1977,32120.42,28942.31,3178.11,0.10,0.288,0.000
AL,1978,33013.46,29465.66,3547.80,0.11,0.296,0.000
AL,1978,33971.05,29975.27,3995.78,0.12,0.304,0.000
AL,1978,35000.16,30521.68,4478.48,0.13,0.313,0.000
AL,1978,35988.08,31149.05,4839.03,0.13,0.322,0.000
AL,1979,36900.93,31883.41,5017.52,0.14,0.330,0.000
AL,1979,37712.68,32704.40,5008.28,0.13,0.338,0.000
AL,1979,38434.30,33564.95,4869.35,0.13,0.344,0.000
AL,1979,39066.96,34421.67,4645.30,0.12,0.350,0.000
AL,1980,39593.80,35236.04,4357.76,0.11,0.354,0.000
AL,1980,40192.66,36002.79,4189.87,0.10,0.360,0.000
AL,1980,40851.03,36717.29,4133.74,0.10,0.366,0.000
AL,1980,41427.56,37376.33,4051.24,0.10,0.371,0.000
AL,1981,41923.52,37986.88,3936.64,0.09,0.375,0.000
AL,1981,42378.95,38574.24,3804.71,0.09,0.379,0.000
AL,1981,42753.19,39181.12,3572.07,0.08,0.383,0.000
AL,1981,43026.68,39847.31,3179.37,0.07,0.385,0.000
AL,1982,43326.46,40595.03,2731.43,0.06,0.388,0.000
AL,1982,43736.24,41368.44,2367.80,0.05,0.392,0.000
AL,1982,44310.66,42095.13,2215.53,0.05,0.397,0.000
AL,1982,45050.06,42797.56,2252.50,0.05,0.403,0.000
AL,1983,45815.18,43524.42,2290.76,0.05,0.410,0.000
AL,1983,46577.99,44249.09,2328.90,0.05,0.417,0.000
AL,1983,47360.21,44992.20,2368.01,0.05,0.424,0.000
AL,1983,48156.47,45748.64,2407.82,0.05,0.431,0.000
AL,1984,48987.44,46538.07,2449.37,0.05,0.439,0.000
AL,1984,49731.49,47244.91,2486.57,0.05,0.445,0.001
AL,1984,50413.26,47892.60,2520.66,0.05,0.451,0.001
AL,1984,51027.12,48475.76,2551.36,0.05,0.457,0.001
AL,1985,51693.24,49108.57,2584.66,0.05,0.463,0.001
AL,1985,52482.31,49858.19,2624.12,0.05,0.470,0.001
AL,1985,53374.09,50705.39,2668.70,0.05,0.478,0.001
AL,1985,54328.70,51612.27,2716.44,0.05,0.486,0.001
AL,1986,55340.09,52573.09,2767.00,0.05,0.495,0.002
AL,1986,56399.90,53579.90,2819.99,0.05,0.505,0.002
AL,1986,57468.96,54595.52,2873.45,0.05,0.514,0.003
AL,1986,58502.51,55577.38,2925.13,0.05,0.524,0.004
AL,1987,59451.91,56479.31,2972.60,0.05,0.532,0.005
AL,1987,60285.71,57271.42,3014.29,0.05,0.540,0.006
AL,1987,61008.37,57957.95,3050.42,0.05,0.546,0.006
AL,1987,61659.80,58576.81,3082.99,0.05,0.552,0.007
AL,1988,62293.95,59179.26,3114.70,0.05,0.558,0.008
AL,1988,62858.64,59715.71,3142.93,0.05,0.563,0.009
AL,1988,63350.93,60183.38,3167.55,0.05,0.567,0.009
AL,1988,63828.38,60636.97,3191.42,0.05,0.571,0.010
AL,1989,64369.41,61150.94,3218.47,0.05,0.576,0.010
AL,1989,64997.64,61747.76,3249.88,0.05,0.582,0.011
AL,1989,65674.56,62390.83,3283.73,0.05,0.588,0.012
AL,1989,66332.68,63016.05,3316.63,0.05,0.594,0.014
AL,1990,66950.20,63602.69,3347.51,0.05,0.599,0.015
AL,1990,67566.27,64187.96,3378.31,0.05,0.605,0.017
AL,1990,68127.60,64721.22,3406.38,0.05,0.610,0.019
AL,1990,68740.85,65303.81,3437.04,0.05,0.615,0.021
AL,1991,69441.05,65968.99,3472.05,0.05,0.622,0.023
AL,1991,70227.67,66716.29,3511.38,0.05,0.629,0.027
AL,1991,71082.60,67528.47,3554.13,0.05,0.636,0.031
AL,1991,72001.50,68401.42,3600.07,0.05,0.645,0.037
AL,1992,72985.80,69336.51,3649.29,0.05,0.653,0.045
AL,1992,74027.89,70326.49,3701.39,0.05,0.663,0.055
AL,1992,75151.42,71393.85,3757.57,0.05,0.673,0.068
AL,1992,76326.00,72509.70,3816.30,0.05,0.683,0.083
AL,1993,77519.89,73643.90,3875.99,0.05,0.694,0.100
AL,1993,78728.77,74792.33,3936.44,0.05,0.705,0.117
AL,1993,79962.15,75964.05,3998.11,0.05,0.716,0.137
AL,1993,81197.95,77138.06,4059.90,0.05,0.727,0.162
AL,1994,82414.48,78293.75,4120.72,0.05,0.738,0.193
AL,1994,83590.34,79235.61,4354.74,0.05,0.748,0.230
AL,1994,84706.36,79654.84,5051.52,0.06,0.758,0.267
AL,1994,85787.40,80168.10,5619.30,0.07,0.768,0.297
AL,1995,86857.35,80825.57,6031.79,0.07,0.778,0.319
AL,1995,87944.38,81578.08,6366.30,0.07,0.787,0.338
AL,1995,89070.39,82367.54,6702.86,0.08,0.797,0.356
AL,1995,90222.16,83132.33,7089.83,0.08,0.808,0.377
AL,1996,91396.62,83815.21,7581.41,0.08,0.818,0.403
AL,1996,92571.45,84411.86,8159.60,0.09,0.829,0.434
AL,1996,93710.04,84910.74,8799.30,0.09,0.839,0.469
AL,1996,94810.14,85305.09,9505.05,0.10,0.849,0.507
AL,1997,95867.43,85605.25,10262.18,0.11,0.858,0.548
AL,1997,96897.38,85892.90,11004.47,0.11,0.867,0.589
AL,1997,97956.42,86265.79,11690.63,0.12,0.877,0.627
AL,1997,99067.18,86821.86,12245.32,0.12,0.887,0.658
AL,1998,100269.79,87633.51,12636.28,0.13,0.898,0.681
AL,1998,101563.78,88586.97,12976.80,0.13,0.909,0.701
AL,1998,102917.21,89570.00,13347.21,0.13,0.921,0.722
AL,1998,104282.24,90459.07,13823.17,0.13,0.933,0.749
AL,1999,105610.49,91162.55,14447.93,0.14,0.945,0.784
AL,1999,106900.26,91702.74,15197.52,0.14,0.957,0.826
AL,1999,108158.81,92138.06,16020.75,0.15,0.968,0.871
AL,1999,109391.12,92525.12,16866.00,0.15,0.979,0.918
AL,2000,110579.03,92878.48,17700.55,0.16,0.990,0.962
AL,2000,111712.30,93321.67,18390.63,0.16,1.000,1.000
AL,2000,112818.44,93847.40,18971.04,0.17,1.010,1.033
AL,2000,113941.25,94485.12,19456.13,0.17,1.020,1.062
AL,2001,115116.83,95311.26,19805.57,0.17,1.030,1.087
AL,2001,116341.50,96164.09,20177.41,0.17,1.041,1.109
AL,2001,117606.86,97065.48,20541.38,0.17,1.053,1.131
AL,2001,118925.61,97980.54,20945.07,0.18,1.065,1.154
AL,2002,120310.92,98821.88,21489.04,0.18,1.077,1.182
AL,2002,121770.97,99629.52,22141.46,0.18,1.090,1.219
AL,2002,123321.99,100281.60,23040.39,0.19,1.104,1.269
AL,2002,124971.11,100701.42,24269.69,0.19,1.119,1.338
AL,2003,126678.30,100911.17,25767.13,0.20,1.134,1.424
AL,2003,128447.81,101136.94,27310.87,0.21,1.150,1.511
AL,2003,130280.32,101765.97,28514.35,0.22,1.166,1.580
AL,2003,132181.06,103160.05,29021.01,0.22,1.183,1.609
AL,2004,134247.84,105521.70,28726.14,0.21,1.202,1.593
AL,2004,136570.51,108530.50,28040.01,0.21,1.223,1.556
AL,2004,139175.63,111668.97,27506.65,0.20,1.246,1.528
AL,2004,142041.47,114435.52,27605.95,0.19,1.271,1.535
AL,2005,145190.32,116480.17,28710.15,0.20,1.300,1.598
AL,2005,148621.69,118097.30,30524.38,0.21,1.330,1.702
AL,2005,152326.34,119719.42,32606.91,0.21,1.364,1.821
AL,2005,156212.80,121783.61,34429.19,0.22,1.398,1.926
AL,2006,160098.75,124571.70,35527.05,0.22,1.433,1.992
AL,2006,163791.22,127684.55,36106.67,0.22,1.466,2.028
AL,2006,167148.83,130588.96,36559.87,0.22,1.496,2.058
AL,2006,170070.35,132743.79,37326.57,0.22,1.522,2.105
AL,2007,172452.31,133837.12,38615.19,0.22,1.544,2.184
AL,2007,174213.50,134313.34,39900.17,0.23,1.559,2.261
AL,2007,175279.23,134896.49,40382.74,0.23,1.569,2.292
AL,2007,175682.65,136289.68,39392.97,0.22,1.573,2.240
AL,2008,175502.36,138941.19,36561.17,0.21,1.571,2.082
AL,2008,174904.67,142223.48,32681.18,0.19,1.566,1.863
AL,2008,174101.91,145271.50,28830.41,0.17,1.558,1.645
AL,2008,173303.36,147213.14,26090.22,0.15,1.551,1.489
AL,2009,172568.85,147445.00,25123.84,0.15,1.545,1.434
AL,2009,171765.77,146471.40,25294.37,0.15,1.538,1.445
AL,2009,170795.26,145055.52,25739.74,0.15,1.529,1.470
AL,2009,169604.41,143964.88,25639.54,0.15,1.518,1.464
AL,2010,167871.04,143760.79,24110.25,0.14,1.503,1.375
AL,2010,165872.58,144426.75,21445.84,0.13,1.485,1.223
AL,2010,163845.14,145655.27,18189.87,0.11,1.467,1.038
AL,2010,161994.73,147172.76,14821.97,0.09,1.450,0.847
AL,2011,160670.11,148752.19,11917.92,0.07,1.438,0.682
AL,2011,160134.83,150282.08,9852.74,0.06,1.433,0.564
AL,2011,160450.42,151720.90,8729.52,0.05,1.436,0.500
AL,2011,161479.10,153017.16,8461.94,0.05,1.445,0.485
AL,2012,163038.19,154142.36,8895.84,0.05,1.459,0.510
AL,2012,164849.44,155169.26,9680.18,0.06,1.476,0.555
AL,2012,166729.32,156191.45,10537.87,0.06,1.492,0.604
AL,2012,168746.75,157303.45,11443.30,0.07,1.511,0.657
AL,2013,170825.65,158576.12,12249.53,0.07,1.529,0.703
AL,2013,172940.72,159987.02,12953.70,0.07,1.548,0.744
AL,2013,175033.18,161490.36,13542.81,0.08,1.567,0.778
AL,2013,177047.63,163040.35,14007.28,0.08,1.585,0.806
AL,2014,179030.97,166019.86,13011.11,0.07,1.603,0.749
AL,2014,181092.11,166089.25,15002.86,0.08,1.621,0.864
AL,2014,183339.22,169514.88,13824.35,0.08,1.641,0.797
AL,2014,185704.13,172848.88,12855.24,0.07,1.662,0.741
AL,2015,187979.17,172908.39,15070.77,0.08,1.683,0.870
AL,2015,190227.37,171137.12,19090.24,0.10,1.703,1.102
AL,2015,192311.80,171949.10,20362.70,0.11,1.721,1.177
AK,1975,53833.31,39542.86,14290.45,0.27,0.354,0.066
AK,1975,55578.22,40929.43,14648.79,0.26,0.366,0.069
AK,1975,57352.46,42467.08,14885.38,0.26,0.377,0.072
AK,1975,59096.38,44031.30,15065.08,0.25,0.389,0.074
AK,1976,60780.17,45537.52,15242.64,0.25,0.400,0.075
AK,1976,62356.23,46899.18,15457.05,0.25,0.410,0.077
AK,1976,63835.74,48123.11,15712.64,0.25,0.420,0.079
AK,1976,65260.42,49194.18,16066.23,0.25,0.430,0.082
AK,1977,66609.77,50004.15,16605.62,0.25,0.438,0.084
AK,1977,67810.84,50857.27,16953.57,0.25,0.446,0.086
AK,1977,69188.76,51716.86,17471.90,0.25,0.455,0.089
AK,1977,70763.68,52650.97,18112.71,0.26,0.466,0.093
AK,1978,72689.05,53772.19,18916.87,0.26,0.478,0.098
AK,1978,75031.69,55005.21,20026.48,0.27,0.494,0.104
AK,1978,77425.16,56431.08,20994.08,0.27,0.510,0.109
AK,1978,79676.42,58082.11,21594.32,0.27,0.524,0.113
AK,1979,81634.29,59911.47,21722.82,0.27,0.537,0.114
AK,1979,82964.52,61780.09,21184.43,0.26,0.546,0.111
AK,1979,83191.49,63397.06,19794.43,0.24,0.548,0.104
AK,1979,82433.88,64501.80,17932.08,0.22,0.543,0.094
AK,1980,81068.39,64872.61,16195.78,0.20,0.534,0.085
AK,1980,79813.69,64858.50,14955.19,0.19,0.525,0.079
AK,1980,80332.29,64716.80,15615.49,0.19,0.529,0.083
AK,1980,83685.85,64775.21,18910.64,0.23,0.551,0.101
AK,1981,89281.16,65286.43,23994.73,0.27,0.588,0.129
AK,1981,96568.15,66281.70,30286.44,0.31,0.636,0.164
AK,1981,104383.87,67674.59,36709.28,0.35,0.687,0.201
AK,1981,111777.14,69380.48,42396.65,0.38,0.736,0.234
AK,1982,117937.55,71437.98,46499.56,0.39,0.776,0.261
AK,1982,122619.52,73546.34,49073.18,0.40,0.807,0.279
AK,1982,126223.91,75830.69,50393.23,0.40,0.831,0.291
AK,1982,128854.36,78297.17,50557.19,0.39,0.848,0.296
AK,1983,130944.21,81066.45,49877.75,0.38,0.862,0.297
AK,1983,132921.36,83641.13,49280.23,0.37,0.875,0.297
AK,1983,134947.14,85985.55,48961.59,0.36,0.888,0.298
AK,1983,136877.31,87913.35,48963.96,0.36,0.901,0.302
AK,1984,138560.53,89277.45,49283.08,0.36,0.912,0.306
AK,1984,139785.28,90214.91,49570.37,0.35,0.920,0.311
AK,1984,140471.73,90867.32,49604.40,0.35,0.925,0.314
AK,1984,140393.62,91392.76,49000.86,0.35,0.924,0.313
AK,1985,139723.81,91928.92,47794.88,0.34,0.920,0.307
AK,1985,138898.42,92483.85,46414.57,0.33,0.914,0.301
AK,1985,138038.92,93055.02,44983.90,0.33,0.909,0.293
AK,1985,137089.90,93634.17,43455.73,0.32,0.902,0.285
AK,1986,135969.57,94310.59,41658.98,0.31,0.895,0.275
AK,1986,134350.68,94844.79,39505.88,0.29,0.884,0.262
AK,1986,131867.87,95333.04,36534.82,0.28,0.868,0.243
AK,1986,128526.97,95777.06,32749.91,0.25,0.846,0.218
AK,1987,124555.47,96026.50,28528.98,0.23,0.820,0.188
AK,1987,120444.20,96450.65,23993.55,0.20,0.793,0.158
AK,1987,117061.05,96881.58,20179.47,0.17,0.770,0.133
AK,1987,115232.91,97308.83,17924.08,0.16,0.758,0.118
AK,1988,115281.43,97752.73,17528.71,0.15,0.759,0.116
AK,1988,116142.59,98175.53,17967.06,0.15,0.764,0.119
AK,1988,116957.43,98616.57,18340.86,0.16,0.770,0.122
AK,1988,116485.90,99089.21,17396.69,0.15,0.767,0.116
AK,1989,114137.94,99614.96,14522.97,0.13,0.751,0.097
AK,1989,110589.67,100128.81,10460.85,0.09,0.728,0.070
AK,1989,107680.55,100628.96,7051.59,0.07,0.709,0.047
AK,1989,106417.55,101096.67,5320.88,0.05,0.700,0.036
AK,1990,107276.15,101912.34,5363.81,0.05,0.706,0.039
AK,1990,110159.30,104651.34,5507.97,0.05,0.725,0.057
AK,1990,113455.15,107782.39,5672.76,0.05,0.747,0.088
AK,1990,116644.73,110812.50,5832.24,0.05,0.768,0.134
AK,1991,119405.07,113434.82,5970.25,0.05,0.786,0.193
AK,1991,121491.85,115417.25,6074.59,0.05,0.800,0.255
AK,1991,122963.93,116301.12,6662.81,0.05,0.809,0.305
AK,1991,123958.48,116772.34,7186.14,0.06,0.816,0.330
AK,1992,124637.21,117489.92,7147.30,0.06,0.820,0.329
AK,1992,125169.29,118333.47,6835.81,0.05,0.824,0.315
AK,1992,125656.04,119180.33,6475.71,0.05,0.827,0.299
AK,1992,126209.49,119899.01,6310.47,0.05,0.831,0.291
AK,1993,126937.81,120590.92,6346.89,0.05,0.835,0.302
AK,1993,127867.74,121474.35,6393.39,0.05,0.842,0.328
AK,1993,128924.49,122478.27,6446.22,0.05,0.849,0.362
AK,1993,129995.33,123160.97,6834.36,0.05,0.856,0.391
AK,1994,130924.44,123954.62,6969.82,0.05,0.862,0.399
AK,1994,131748.29,124915.44,6832.86,0.05,0.867,0.391
AK,1994,132583.32,125918.63,6664.70,0.05,0.873,0.382
AK,1994,133516.76,126840.92,6675.84,0.05,0.879,0.382
AK,1995,134648.54,127916.12,6732.43,0.05,0.886,0.405
AK,1995,135868.03,129074.63,6793.40,0.05,0.894,0.443
AK,1995,137087.00,130232.65,6854.35,0.05,0.902,0.491
AK,1995,138246.86,131334.52,6912.34,0.05,0.910,0.545
AK,1996,139325.14,132358.88,6966.26,0.05,0.917,0.600
AK,1996,140250.33,133237.81,7012.52,0.05,0.923,0.647
AK,1996,141087.36,134032.99,7054.37,0.05,0.929,0.690
AK,1996,141884.39,134790.17,7094.22,0.05,0.934,0.731
AK,1997,142578.66,135449.73,7128.93,0.05,0.938,0.762
AK,1997,143230.97,136069.42,7161.55,0.05,0.943,0.787
AK,1997,143915.95,136720.15,7195.80,0.05,0.947,0.814
AK,1997,144682.13,137448.03,7234.11,0.05,0.952,0.848
AK,1998,145557.18,138279.32,7277.86,0.05,0.958,0.894
AK,1998,146547.97,139220.57,7327.40,0.05,0.965,0.954
AK,1998,147533.42,139802.07,7731.35,0.05,0.971,1.016
AK,1998,148418.28,140321.95,8096.33,0.05,0.977,1.064
AK,1999,149110.63,140842.28,8268.36,0.06,0.981,1.088
AK,1999,149596.70,141383.41,8213.29,0.05,0.985,1.081
AK,1999,149947.18,141974.02,7973.17,0.05,0.987,1.050
AK,1999,150317.63,142642.57,7675.07,0.05,0.989,1.011
AK,2000,150968.84,143415.07,7553.77,0.05,0.994,0.994
AK,2000,151935.90,144339.11,7596.80,0.05,1.000,1.000
AK,2000,153206.78,145449.29,7757.49,0.05,1.008,1.022
AK,2000,154799.49,146784.88,8014.61,0.05,1.019,1.056
AK,2001,156731.41,148365.68,8365.73,0.05,1.032,1.104
AK,2001,158881.68,150083.02,8798.65,0.06,1.046,1.163
AK,2001,161138.98,151823.73,9315.25,0.06,1.061,1.232
AK,2001,163425.90,153468.11,9957.80,0.06,1.076,1.319
AK,2002,165694.58,154901.83,10792.75,0.07,1.091,1.430
AK,2002,168019.99,156072.09,11947.90,0.07,1.106,1.586
AK,2002,170418.28,156919.54,13498.74,0.08,1.122,1.794
AK,2002,172868.52,157390.25,15478.27,0.09,1.138,2.061
AK,2003,175490.50,157536.10,17954.39,0.10,1.155,2.396
AK,2003,178379.68,157806.83,20572.85,0.12,1.174,2.752
AK,2003,181646.93,158763.32,22883.61,0.13,1.196,3.068
AK,2003,185357.71,160962.33,24395.38,0.13,1.220,3.279
AK,2004,189377.79,164746.50,24631.29,0.13,1.246,3.319
AK,2004,193649.21,169541.81,24107.40,0.12,1.275,3.256
AK,2004,198250.31,174584.38,23665.93,0.12,1.305,3.202
AK,2004,203085.79,179102.39,23983.39,0.12,1.337,3.251
AK,2005,208049.07,182521.85,25527.22,0.12,1.369,3.465
AK,2005,212992.62,185124.84,27867.78,0.13,1.402,3.789
AK,2005,217774.75,187369.04,30405.71,0.14,1.433,4.141
AK,2005,222149.16,189719.56,32429.61,0.15,1.462,4.424
AK,2006,225967.56,192493.42,33474.13,0.15,1.487,4.575
AK,2006,229156.86,195413.15,33743.72,0.15,1.508,4.620
AK,2006,231683.05,198056.28,33626.77,0.15,1.525,4.612
AK,2006,233586.82,200000.34,33586.48,0.14,1.537,4.614
AK,2007,234878.10,201014.15,33863.95,0.14,1.546,4.661
AK,2007,235428.17,201575.19,33852.98,0.14,1.550,4.666
AK,2007,235186.64,202368.73,32817.92,0.14,1.548,4.530
AK,2007,234421.14,204073.04,30348.10,0.13,1.543,4.195
AK,2008,233486.13,207078.82,26407.31,0.11,1.537,3.652
AK,2008,232600.03,210705.43,21894.60,0.09,1.531,3.031
AK,2008,231582.89,213957.14,17625.74,0.08,1.524,2.442
AK,2008,230341.61,215851.12,14490.49,0.06,1.516,2.009
AK,2009,228663.98,215739.86,12924.12,0.06,1.505,1.793
AK,2009,226674.29,214292.86,12381.43,0.05,1.492,1.719
AK,2009,225055.85,212518.82,12537.04,0.06,1.481,1.741
AK,2009,224193.30,211422.50,12770.81,0.06,1.476,1.774
AK,2010,224106.52,211753.84,12352.68,0.06,1.475,1.716
AK,2010,224644.50,213288.63,11355.87,0.05,1.479,1.578
AK,2010,225374.34,214105.63,11268.72,0.05,1.483,1.367
AK,2010,225962.39,214664.27,11298.12,0.05,1.487,1.140
AK,2011,226352.25,215034.64,11317.61,0.05,1.490,0.952
AK,2011,226365.02,215046.77,11318.25,0.05,1.490,0.789
AK,2011,226129.21,214822.75,11306.46,0.05,1.488,0.662
AK,2011,225852.36,214559.75,11292.62,0.05,1.486,0.576
AK,2012,225880.11,214586.10,11294.01,0.05,1.487,0.537
AK,2012,226501.35,215154.56,11346.78,0.05,1.491,0.540
AK,2012,227428.13,215689.86,11738.27,0.05,1.497,0.559
AK,2012,228369.42,216386.68,11982.74,0.05,1.503,0.571
AK,2013,229173.79,217391.48,11782.31,0.05,1.508,0.561
AK,2013,229764.32,218276.11,11488.22,0.05,1.512,0.529
AK,2013,230215.18,218704.42,11510.76,0.05,1.515,0.484
AK,2013,230804.02,219263.82,11540.20,0.05,1.519,0.444
AK,2014,231756.86,220169.02,11587.84,0.05,1.525,0.327
AK,2014,233247.55,220252.30,12995.25,0.06,1.535,0.367
AK,2014,235178.00,223419.10,11758.90,0.05,1.548,0.294
AK,2014,237224.61,225363.38,11861.23,0.05,1.561,0.235
AK,2015,239108.81,225439.13,13669.68,0.06,1.574,0.272
AK,2015,240717.01,223133.52,17583.48,0.07,1.584,0.350
AK,2015,242119.58,224193.73,17925.84,0.07,1.594,0.357
AZ,1975,33376.06,31192.84,2183.22,0.07,0.208,0.000
AZ,1975,33451.52,31509.76,1941.77,0.06,0.208,0.000
AZ,1975,33503.91,31747.27,1756.63,0.05,0.208,0.000
AZ,1975,33658.70,31975.77,1682.94,0.05,0.209,0.000
AZ,1976,34050.12,32347.61,1702.51,0.05,0.212,0.000
AZ,1976,34619.74,32888.76,1730.99,0.05,0.215,0.000
AZ,1976,35230.52,33468.99,1761.53,0.05,0.219,0.000
AZ,1976,35934.71,34137.98,1796.74,0.05,0.223,0.000
AZ,1977,36818.04,34977.14,1840.90,0.05,0.229,0.000
AZ,1977,37928.41,36031.99,1896.42,0.05,0.236,0.000
AZ,1977,39324.74,37358.51,1966.24,0.05,0.245,0.001
AZ,1977,41005.78,38955.49,2050.29,0.05,0.255,0.001
AZ,1978,42959.28,40811.32,2147.96,0.05,0.267,0.002
AZ,1978,45203.60,42943.42,2260.18,0.05,0.281,0.003
AZ,1978,47712.81,45327.17,2385.64,0.05,0.297,0.005
AZ,1978,50368.94,47850.49,2518.45,0.05,0.313,0.008
AZ,1979,53050.76,50398.22,2652.54,0.05,0.330,0.012
AZ,1979,55620.24,52839.23,2781.01,0.05,0.346,0.016
AZ,1979,57986.01,55086.71,2899.30,0.05,0.361,0.020
AZ,1979,60132.90,56825.43,3307.47,0.06,0.374,0.023
AZ,1980,62066.90,58307.20,3759.70,0.06,0.386,0.027
AZ,1980,63901.85,59587.17,4314.68,0.07,0.397,0.031
AZ,1980,65720.58,60681.79,5038.79,0.08,0.409,0.036
AZ,1980,67363.30,61605.45,5757.85,0.09,0.419,0.041
AZ,1981,68775.21,62386.49,6388.72,0.09,0.428,0.046
AZ,1981,69898.64,63121.20,6777.44,0.10,0.435,0.049
AZ,1981,70622.33,63915.11,6707.21,0.09,0.439,0.048
AZ,1981,70915.58,64874.89,6040.70,0.09,0.441,0.044
AZ,1982,71149.73,66066.94,5082.79,0.07,0.442,0.037
AZ,1982,71635.20,67384.04,4251.16,0.06,0.445,0.031
AZ,1982,72391.08,68679.01,3712.08,0.05,0.450,0.027
AZ,1982,73478.67,69804.74,3673.93,0.05,0.457,0.027
AZ,1983,74733.85,70997.15,3736.69,0.05,0.465,0.030
AZ,1983,75817.69,72026.80,3790.88,0.05,0.471,0.034
AZ,1983,76711.02,72875.47,3835.55,0.05,0.477,0.040
AZ,1983,77660.25,73777.24,3883.01,0.05,0.483,0.050
AZ,1984,78837.16,73740.08,5097.08,0.06,0.490,0.069
AZ,1984,80179.53,73374.81,6804.72,0.08,0.499,0.093
AZ,1984,81537.28,73044.68,8492.60,0.10,0.507,0.116
AZ,1984,82889.79,72890.92,9998.87,0.12,0.515,0.138
AZ,1985,84306.42,73014.62,11291.79,0.13,0.524,0.157
AZ,1985,85775.58,73330.30,12445.28,0.15,0.533,0.174
AZ,1985,87326.99,73721.65,13605.34,0.16,0.543,0.191
AZ,1985,88946.72,74069.33,14877.39,0.17,0.553,0.211
AZ,1986,90580.28,74308.53,16271.75,0.18,0.563,0.232
AZ,1986,92097.75,74530.23,17567.52,0.19,0.573,0.253
AZ,1986,93350.41,74897.62,18452.79,0.20,0.580,0.267
AZ,1986,94330.94,75565.76,18765.19,0.20,0.587,0.274
AZ,1987,95086.51,76630.86,18455.65,0.19,0.591,0.271
AZ,1987,95557.14,77914.72,17642.43,0.18,0.594,0.261
AZ,1987,95815.26,79192.65,16622.61,0.17,0.596,0.247
AZ,1987,95977.50,80236.40,15741.10,0.16,0.597,0.236
AZ,1988,96170.65,80878.29,15292.36,0.16,0.598,0.230
AZ,1988,96373.04,81208.07,15164.97,0.16,0.599,0.229
AZ,1988,96541.54,81366.98,15174.56,0.16,0.600,0.231
AZ,1988,96727.22,81498.82,15228.41,0.16,0.601,0.233
AZ,1989,96946.94,81742.24,15204.70,0.16,0.603,0.234
AZ,1989,97252.79,82052.85,15199.94,0.16,0.605,0.235
AZ,1989,97636.04,82434.72,15201.31,0.16,0.607,0.236
AZ,1989,98018.64,82869.37,15149.27,0.15,0.609,0.235
AZ,1990,98405.88,83286.32,15119.56,0.15,0.612,0.235
AZ,1990,98834.30,83762.36,15071.94,0.15,0.615,0.235
AZ,1990,99076.88,84205.88,14871.00,0.15,0.616,0.232
AZ,1990,99416.47,84574.44,14842.03,0.15,0.618,0.233
AZ,1991,99879.72,84851.38,15028.34,0.15,0.621,0.237
AZ,1991,100405.82,85066.40,15339.42,0.15,0.624,0.243
AZ,1991,100982.98,85292.28,15690.70,0.16,0.628,0.249
AZ,1991,101646.95,85594.39,16052.56,0.16,0.632,0.256
AZ,1992,102338.21,86058.55,16279.66,0.16,0.636,0.262
AZ,1992,103056.72,86587.47,16469.25,0.16,0.641,0.267
AZ,1992,103885.93,87192.06,16693.87,0.16,0.646,0.271
AZ,1992,104858.20,87847.20,17011.00,0.16,0.652,0.278
AZ,1993,106021.47,88475.58,17545.89,0.17,0.659,0.287
AZ,1993,107399.81,89196.31,18203.50,0.17,0.668,0.299
AZ,1993,108993.82,89945.92,19047.90,0.17,0.678,0.314
AZ,1993,110774.19,90715.97,20058.22,0.18,0.689,0.332
AZ,1994,112682.47,91507.95,21174.52,0.19,0.701,0.353
AZ,1994,114674.18,92279.17,22395.01,0.20,0.713,0.376
AZ,1994,116672.97,93023.81,23649.16,0.20,0.725,0.400
AZ,1994,118635.85,93724.41,24911.44,0.21,0.738,0.425
AZ,1995,120520.06,94456.95,26063.11,0.22,0.749,0.450
AZ,1995,122321.81,95105.29,27216.53,0.22,0.761,0.473
AZ,1995,124058.96,95830.51,28228.46,0.23,0.771,0.494
AZ,1995,125713.63,96716.87,28996.76,0.23,0.782,0.511
AZ,1996,127290.11,97749.93,29540.18,0.23,0.791,0.523
AZ,1996,128766.91,98921.62,29845.29,0.23,0.801,0.531
AZ,1996,130157.57,99994.39,30163.18,0.23,0.809,0.540
AZ,1996,131504.29,100785.71,30718.58,0.23,0.818,0.553
AZ,1997,132878.64,101182.23,31696.40,0.24,0.826,0.574
AZ,1997,134324.43,101349.36,32975.07,0.25,0.835,0.601
AZ,1997,135872.88,101520.02,34352.86,0.25,0.845,0.630
AZ,1997,137567.97,101927.95,35640.02,0.26,0.855,0.658
AZ,1998,139445.37,102769.08,36676.29,0.26,0.867,0.682
